,product_id,view_counts,price,category,title
0,361,190.0,10.42,Lembrancinhas,Mochila de tecido patrulha canina
1,1426,3294.0,25.52,Bebê,Saquinho de Maternidade Chevron Ursinho
2,2102,113.0,10.95,Lembrancinhas,LATINHA DO HOMEM ARANHA
3,2295,76.0,11.61,Lembrancinhas,LEMBRANCINHAS MICKEY BABY
4,3528,1444.0,9.05,Papel e Cia,tags redondas
5,4607,19.0,48.6,Bijuterias e Jóias,Colar de corda
6,5690,928.0,3.3,Lembrancinhas,Kit de Colorir - Mundo Bita
7,5834,1099.0,206.56999,Outros,Terrário fechado grande (P130)
8,5970,107.0,45.3,Papel e Cia,Caixa de mdf
9,6081,1543.0,10.536666666666667,Lembrancinhas,cofrinho personalizado
10,7261,1918.0,39.329998,Bebê,BODY BEBE COM GOLA EM BORDADO INGLES
11,7393,16.0,208.95,Lembrancinhas,Almofadas Personalizadas Festa da Minnie Vermelha
12,8772,64.0,43.04,Decoração,Papel de parede Floral Decor 52
13,8825,39.0,33.99,Decoração,Papel de parede Floral Decor 54
14,12318,650.0,16.5,Bebê,Lembrança de Maternidade Home Spray
15,12753,62.0,21.619999,Lembrancinhas,lembrança dia dos pais caixa com bombom
16,13694,218.0,17.17,Lembrancinhas,Festa do pijama
17,13724,28.0,16.85,Decoração,Faixa de parede - border carrinho masc.
18,14529,587.0,322.94998,Bijuterias e Jóias,Par Aliança 6mm Folheada a ouro 18k - casamento
19,14810,204.0,238.72,Decoração,1 Vasos Grande de Planta 90x40 + Prato Plastico Decorativo
20,15207,69.0,46.41,Lembrancinhas,Caneca Dia dos Pais - Pai
21,15614,693.0,273.64,Decoração,Almofada para banco em acquablock
22,16097,65.0,14.7699995,Papel e Cia,Canudo de Formatura Roxo
23,16107,15.0,76.43,Decoração,Cachepot de crochê M
24,17099,77.0,27.295,Lembrancinhas,Caneca Dia dos Pais
25,17186,166.0,86.4,Decoração,centro de mesa em croche
26,17376,188.0,33.19,Lembrancinhas,Copo de Cerveja Stout Personalizado
27,17549,113.0,232.2,Bijuterias e Jóias,Corrente Masculino Prata Maciça 925 Cordão 60cm + Ping Cruz
28,17849,39.0,44.96,Decoração,Moldura #11
29,17919,59.0,13.58,Lembrancinhas,Chaveiro nuvem
30,17925,30.0,11.95,Lembrancinhas,Mine Xicara personalizada
31,17996,270.0,76.89,Decoração,Anel de parede vaso autoirrigável kit 7
32,18131,166.0,15.0,Decoração,Flores Gigantes de Papel + Folha
33,18586,271.0,75.555,Papel e Cia,Agenda Personalizada
34,18872,160.0,42.79,Papel e Cia,Sketchbook DragonBall
35,19196,129.0,36.77,Bebê,Fraldas de Pano Lisa com Barrado Crochê
36,19260,148.0,32.32,Bebê,Fralda de Ombro - Pássaros
37,20083,23.0,15.7,Bijuterias e Jóias,Missanga Branco fosco 9/0 (25 gramas)
38,20329,95.0,9.47,Papel e Cia,Adesivo Tubete 8x8 cm Mickey
39,20849,296.0,85.9,Decoração,Adesivo Cozinha Receita da Felicidade
40,21309,119.0,129.03,Lembrancinhas,KIT JARDIM ENCANTADO PROVENÇAL
41,21835,319.0,27.4,Lembrancinhas,Caixa Lembrança ou Convite Padrinhos Batizado
42,22376,797.0,168.42,Papel e Cia,Identidade Visual - Loja
43,22702,469.0,15.810000500000001,Decoração,Nome em tricotin
44,23635,114.0,101.73,Decoração,luminária em pvc São Miguel Arcanjo
45,25323,281.0,14.86,Lembrancinhas,180 - Kit Ferramenta 6 Peças Personalizado
46,25408,207.0,120.3,Decoração,Trenzinho alfabeto Ilustrado em EVA
47,25861,667.0,12.95,Lembrancinhas,Tubete Frozen
48,26011,335.0,16.57,Outros,Recortes de Feltro - Olhos LOL
49,26611,407.0,59.9,Decoração,Papel de Parede Quarto Menina Rosa
50,28463,290.0,22.28,Lembrancinhas,Livro de Oração Batizado
51,28670,56.0,221.93,Decoração,Tapete de cama 2 peças barroco decore
52,29925,337.0,160.59,Decoração,3 Nichos Pretos + 1 Nicho Amarelo
53,29989,83.0,13.84,Lembrancinhas,lembrança em biscuit bebê dormindo
54,30020,318.0,23.05,Lembrancinhas,Lembrancinha 15 anos
55,30225,407.0,20.2,Decoração,Pôster Decoração Regras do Banheiro
56,30680,49.0,16.65,Lembrancinhas,Brinde dia dos Pais
57,30989,347.3333333333333,21.886666666666667,Papel e Cia,Dia dos Pais Silhouette Molde caixa para Caneca de chopp
58,31418,1281.3333333333333,20.923333666666668,Lembrancinhas,Lembrancinha Aniversário: 50/60/70/80/90/100/101 anos
59,32090,180.0,11.59,Lembrancinhas,Toppers para docinhos tema brinquedos
60,33747,37.0,100.67,Bebê,manta / xale de bebê
61,34399,154.0,377.7,Decoração,Jardim Vertical
62,35389,208.0,12.25,Lembrancinhas,Dominó personalizado Branca de Neve Cute
63,35433,57.0,32.95,Bebê,Body Personalizado Bebê - Dia dos Pais Futebol
64,35824,214.0,72.48,Decoração,Adega de Vinho Vertical Tipo Torre - Cor Preta
65,36881,141.0,30.0,Papel e Cia,CARTÃO DE VISITA (DESIGNER SOBRANCELHAS)
66,37195,125.0,12.79,Lembrancinhas,Vasinho de Plástico Unicórnio
67,37302,365.0,3.79,Lembrancinhas,balde de pipoca fundo do mar
68,37357,126.0,50.83,Decoração,Papel de Parede Pássaros e Flores-1158
69,37510,233.0,18.61,Decoração,Almofada Personalizada Símbolos Mulher Maravilha 420
70,39653,144.0,12.13,Lembrancinhas,Caixa Acrilica Jurassic World/ Jurassic Park
